Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
16308 - 2015,28/09/2015,1 - CONVITE,329,"AR CONDICIONADO TURBO AR, COMERCIO E SERVICOS LTDA",6936.33,"fornecimento e instalação de 01 (um) aparelho de Ar Condicionado, 60.000 btu's, modelo piso-teto, 220v trifásico, em atendimento a Superintendência de Proteção e Defesa do Consumidor - PROCON da Secretaria Municipal de Governo",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento e instalação de 01 (um) aparelho de Ar Condicionado, 60.000 btu's, modelo piso-teto, 220v trifásico, em atendimento a Superintendência de Proteção e Defesa do Consumidor - PROCON da Secretaria Municipal de Governo",A SOS DEDETIZADORA E DESENTUPIDORA LTDA - ME,360,A1 LOCADORA E TRANSPORTES LTDA - ME,2,A SOS DEDETIZADORA E DESENTUPIDORA LTDA - ME,Prefeitura Municipal de Uberlândia
1132 - 2015,05/05/2015,5 - PREGÃO PRESENCIAL,3,COOPERATIVA AGROPECUARIA LTDA DE UBERLANDIA,213394,"futura ou eventual fornecimento de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândua.",Secretaria Municipal de Governo,"Qual o valor gasto com futura ou eventual fornecimento de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",A1 LOCADORA E TRANSPORTES LTDA - ME,133500,ABC CONSULTORIA EM INFORMATICA LTDA - ME,2,A3D EMPREENDIMENTOS LTDA-ME,Prefeitura Municipal de Uberlândia
7128 - 2015,10/04/2015,1 - CONVITE,140,SISTEMAS DE ALARME MAXIMA SEGURANCA LTDA - EPP,621,prestação de serviços de monitoramento eletrônico de alarme com atendimento móvel 24 horas em atendimento a Superintendência da Pessoa com Deficiência e Mobilidade Urbana da Secretaria Municipal de Governo.,Secretaria Municipal de Governo,Qual o valor gasto com prestação de serviços de monitoramento eletrônico de alarme com atendimento móvel 24 horas em atendimento a Superintendência da Pessoa com Deficiência e Mobilidade Urbana da Secretaria Municipal de Governo.,A3D EMPREENDIMENTOS LTDA-ME,95000,ADA LUISA VIEIRA RODRIGUES - ME,2,ABEX COMERCIAL IMPORTACAO E EXPORTACAO LTDA - EPP,Prefeitura Municipal de Uberlândia
28722 - 2014,26/01/2015,5 - PREGÃO PRESENCIAL,951,COPAGAZ DISTRIBUIDORA DE GAS S.A,2190,"futuro e eventual fornecimento de gás de cozinha (GLP), em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Governo,"Qual o valor gasto com futuro e eventual fornecimento de gás de cozinha (GLP), em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ABC CONSULTORIA EM INFORMATICA LTDA - ME,41010.4,AGUA LIMPA PISCINAS E CAIXAS DE AGUA LTDA - ME,2,ACHEI INDUSTRIA DE MOVEIS PARA ESCRITORIO LTDA - ME,Prefeitura Municipal de Uberlândia
2451 - 2015,18/02/2015,1 - CONVITE,28,PNEUARA PNEUS COMERCIO IMPORTACAO E EXPORTACAO LTDA,39010,"aquisição de pneu 1400x24 lameiro 12 lonas e Câmara de Ar (nova) km 24, a serem utilizados nas frotas 380, 381, 383 e 384 - moto niveladora caterpillar, em atendimento à Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de pneu 1400x24 lameiro 12 lonas e Câmara de Ar (nova) km 24, a serem utilizados nas frotas 380, 381, 383 e 384 - moto niveladora caterpillar, em atendimento à Superintendência de Operações e manutenção.",ABEX COMERCIAL IMPORTACAO E EXPORTACAO LTDA - EPP,32487.5,AL COMERCIO DE MATERIAIS DE ESCRITRIO LTDA - ME,4,ADEM DISTRIBUIDORA DE EQUIPAMENTOS MEDICOS LTDA,Prefeitura Municipal de Uberlândia
27878 - 2014,13/02/2015,5 - PREGÃO PRESENCIAL,918,C R BUFE E EVENTOS LTDA - ME,9880.4,"futuro ou eventual fornecimento de coffee break, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Governo,"Qual o valor gasto com futuro ou eventual fornecimento de coffee break, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ACHEI INDUSTRIA DE MOVEIS PARA ESCRITORIO LTDA - ME,32498,ALGAR CELULAR S/A,3,AGENCIA DE INTEGRACAO EMPRESA ESCOLA LTDA-ME,Prefeitura Municipal de Uberlândia
13047 - 2015,20/08/2015,6 - PREGÃO ELETRÔNICO,234,CENTRO AUTOMOTIVO CENTRO OESTE LTDA - ME,78218,"aquisição de materiais (óleo 15w 40, óleo ATF tipo A, óleo SAE 40 e outros), em atendimento à Superintência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de materiais (óleo 15w 40, óleo ATF tipo A, óleo SAE 40 e outros), em atendimento à Superintência de Operações e manutenção.",ADA LUISA VIEIRA RODRIGUES - ME,85241.71,ALTERNATIVA COMERCIAL LTDA - ME,13,AIR LIQUIDE BRASIL LTDA,Prefeitura Municipal de Uberlândia
27723 - 2014,27/01/2015,5 - PREGÃO PRESENCIAL,911,OLIVEIRA & LOURENCO INDUSTRIA DE PANIFICACAO LTDA - ME,12600,"futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Governo,"Qual o valor gasto com futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ADEM DISTRIBUIDORA DE EQUIPAMENTOS MEDICOS LTDA,62520,"AR CONDICIONADO TURBO AR, COMERCIO E SERVICOS LTDA",5,ALERIANO ROSA DA SILVA - CPF 051.169.526-81 - ME,Prefeitura Municipal de Uberlândia
2657 - 2015,24/02/2015,1 - CONVITE,31,BARACUI COMERCIAL LTDA - ME,2887,"fornecimento de Painéis Perfil U Perfil H e portas para serem utilizados na estrutura da Superintendência da Juventude, em atendimento a Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de Painéis Perfil U Perfil H e portas para serem utilizados na estrutura da Superintendência da Juventude, em atendimento a Secretaria Municipal de Governo.",AGENCIA DE INTEGRACAO EMPRESA ESCOLA LTDA-ME,100368,ARMAZENA INDUSTRIA DE MOVEIS LTDA - EPP,2,ALEXANDRE ALVES SILVA - 98658450678,Prefeitura Municipal de Uberlândia
28556 - 2014,01/04/2015,5 - PREGÃO PRESENCIAL,944,RB GRAFICA DIGITAL EIRELI - ME,4050,"prestação de serviços gráficos, em atendimento a Secretaria Muncipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com prestação de serviços gráficos, em atendimento a Secretaria Muncipal de Governo.",AGUA LIMPA PISCINAS E CAIXAS DE AGUA LTDA - ME,127710.29,ATITUDE COMERCIAL EIRELI - ME,20,ALGAR TELECOM S/A,Prefeitura Municipal de Uberlândia
25392 - 2015,27/10/2015,1 - CONVITE,683,PRADUSTUR LTDA,7999,"fretamento de ônibus (42 lugares, ar condicionado, TV/DVD, toalete e frigobar), para os membros da Superintendência da Pessoa com Deficiência e Mobilidade Urbana e Banda AB' Surdos do Conservatório, em atendimento à Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com fretamento de ônibus (42 lugares, ar condicionado, TV/DVD, toalete e frigobar), para os membros da Superintendência da Pessoa com Deficiência e Mobilidade Urbana e Banda AB' Surdos do Conservatório, em atendimento à Secretaria Municipal de Governo.",AIR LIQUIDE BRASIL LTDA,289710,AUTO POSTO VIEIRA E MARTINS LTDA,3,ALGUS INDUSTRIA COMERCIO E DISTRIBUICAO EIRELI,Prefeitura Municipal de Uberlândia
31014 - 2014,06/01/2015,1 - CONVITE,1027,BUSCA PECAS COMERCIO LTDA - ME,21922,"fornecimento de diversas peças e conserto para as frotas: (182/GMM6439 226/GMM6498 310/GMM6332 41/GMM6160 420/HMM7307 314/GMM6513 99/GMM6529 296/KDU2757 500/GRA1800 e 644/CVP7321, em atendimento à Sup. de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de diversas peças e conserto para as frotas: (182/GMM6439 226/GMM6498 310/GMM6332 41/GMM6160 420/HMM7307 314/GMM6513 99/GMM6529 296/KDU2757 500/GRA1800 e 644/CVP7321, em atendimento à Sup. de Operações e manutenção.",AL COMERCIO DE MATERIAIS DE ESCRITRIO LTDA - ME,106976,BARACUI COMERCIAL LTDA - ME,29,ALINE EDITORA E ARTES GRAFICAS LTDA,Prefeitura Municipal de Uberlândia
7476 - 2015,13/05/2015,1 - CONVITE,150,DESTRA ARQUITETURA LTDA - ME,67283.75,"prestação de serviço de elaboração de projetos executivos para obra de construção da sede da Superintendência de Proteção e Defesa do Consumidor PROCON, em atendimento à Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com prestação de serviço de elaboração de projetos executivos para obra de construção da sede da Superintendência de Proteção e Defesa do Consumidor PROCON, em atendimento à Secretaria Municipal de Governo.",ALERIANO ROSA DA SILVA - CPF 051.169.526-81 - ME,700,BARRA PROJETOS E CONSTRUCOES LTDA,6,AMAZONAS GRAFICA DE ADESIVOS E BRINDES LTDA ME,Prefeitura Municipal de Uberlândia
26348 - 2014,24/03/2015,1 - CONVITE,850,MENDONCA & FERNANDES LTDA -ME,4216,"aquisição de diversos equipamentos para áudio (microfone sem fio, microfone com fio, caixa de som, mesa de som amplificada e tripé para caixa de som), em atendimento à Superintendência da Mulher da Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de diversos equipamentos para áudio (microfone sem fio, microfone com fio, caixa de som, mesa de som amplificada e tripé para caixa de som), em atendimento à Superintendência da Mulher da Secretaria Municipal de Governo.",ALEXANDRE ALVES SILVA - 98658450678,2702.08,BEIJA-FLORZINHO MATERIAIS PARA CONSTRUCAO EIRELI - ME,9,AMAZONIA INDUSTRIA E COMERCIO LTDA,Prefeitura Municipal de Uberlândia
27204 - 2014,01/04/2015,5 - PREGÃO PRESENCIAL,886,BUSCA PECAS COMERCIO LTDA - ME,393999.29,"prestação de serviços de manutenção, consertos e fornecimento de peças para serviços de suspensão nos veículos pesados que compõem a frota municipal, em atendimento a Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com prestação de serviços de manutenção, consertos e fornecimento de peças para serviços de suspensão nos veículos pesados que compõem a frota municipal, em atendimento a Superintendência de Operações e manutenção.",ALGAR CELULAR S/A,143096.4,BH FOODS COMERCIO E INDUSTRIA LTDA-EPP,2,ANDAIMES MONTAGENS E EVENTOS LTDA - ME,Prefeitura Municipal de Uberlândia
31123 - 2014,09/04/2015,5 - PREGÃO PRESENCIAL,1034,DIEGO ALBERTO RAMOS RAFAEL - ME,1492.2,futura ou eventual fornecimento de produtos para coffee break em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Governo,Qual o valor gasto com futura ou eventual fornecimento de produtos para coffee break em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,ALGAR TELECOM S/A,14928.2,BILHAR SENA LTDA,2,ARAUJO E PEREIRA TRANSPORTES LTDA - ME,Prefeitura Municipal de Uberlândia
2733 - 2015,25/02/2015,1 - CONVITE,36,T & I TELECOMUNICACOES LTDA - EPP,9790,prestação de serviço de assessoramento técnico e execução de serviços de atualização de sistema e processamentos de dados nos servidores e demais máquinas para nova sede do PROCON em atendimento a Secretaria Municipal de Governo.,Secretaria Municipal de Governo,Qual o valor gasto com prestação de serviço de assessoramento técnico e execução de serviços de atualização de sistema e processamentos de dados nos servidores e demais máquinas para nova sede do PROCON em atendimento a Secretaria Municipal de Governo.,ALGUS INDUSTRIA COMERCIO E DISTRIBUICAO EIRELI,10524,BT CONSTRUCOES LTDA.,2,ARCO VERDE MEIO AMBIENTE LTDA - ME,Prefeitura Municipal de Uberlândia
7280 - 2015,25/06/2015,1 - CONVITE,144,SEVENMIX COMERCIO E SERVICO EIRELI - ME,6300,"aquisição de tenda com motor (modelo casa), a ser utilizada nos eventos do Procon móvel, em atendimento à Superintendência de Proteção e Defesa do Consumidor - PROCON da Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de tenda com motor (modelo casa), a ser utilizada nos eventos do Procon móvel, em atendimento à Superintendência de Proteção e Defesa do Consumidor - PROCON da Secretaria Municipal de Governo.",ALINE EDITORA E ARTES GRAFICAS LTDA,9910,BUSCA PECAS COMERCIO LTDA - ME,9,ARCOVERDE SOLUCOES GRAFICAS LTDA - ME,Prefeitura Municipal de Uberlândia
